sp_name,year,month,param_id,PV
Alphington,2006,1,API,477.3499999999999
Alphington,2006,1,CO,256.10000000000076
Alphington,2006,1,NO2,5863.0
Alphington,2006,1,O3,13148.0
Alphington,2006,1,PM10,16439.700000000008
Alphington,2006,1,PPM2.5,102.89999999999999
Alphington,2006,1,SO2,334.0
Alphington,2006,2,API,314.28999999999985
Alphington,2006,2,CO,237.70000000000164
Alphington,2006,2,NO2,5341.0
Alphington,2006,2,O3,7800.0
Alphington,2006,2,PM10,12487.2
Alphington,2006,2,PPM2.5,60.99999999999999
Alphington,2006,2,SO2,489.0
Alphington,2006,3,API,365.6899999999998
Alphington,2006,3,CO,303.30000000000047
Alphington,2006,3,NO2,7725.0
Alphington,2006,3,O3,10959.0
Alphington,2006,3,PM10,14381.699999999992
Alphington,2006,3,PPM2.5,60.300000000000004
Alphington,2006,3,SO2,447.0
Alphington,2006,4,API,95.89
Alphington,2006,4,CO,75.09999999999994
Alphington,2006,4,NO2,2204.0
Alphington,2006,4,O3,2384.0
Alphington,2006,4,PM10,3479.9999999999995
Alphington,2006,4,PPM2.5,18.1
Alphington,2006,4,SO2,189.0
Alphington,2006,5,API,505.9199999999999
Alphington,2006,5,CO,468.29999999999984
Alphington,2006,5,NO2,9398.0
Alphington,2006,5,O3,3324.0
Alphington,2006,5,PM10,5248.4
Alphington,2006,5,PPM2.5,102.19999999999999
Alphington,2006,5,SO2,721.0
Alphington,2006,6,API,730.5300000000005
Alphington,2006,6,CO,602.6999999999999
Alphington,2006,6,NO2,12872.0
Alphington,2006,6,O3,4571.0
Alphington,2006,6,PM10,12585.799999999976
Alphington,2006,6,PPM2.5,159.7
Alphington,2006,6,SO2,954.0
Alphington,2006,7,API,25.83
Alphington,2006,7,CO,377.00000000000034
Alphington,2006,7,NO2,10205.0
Alphington,2006,7,O3,8437.0
Alphington,2006,7,PM10,10025.699999999997
Alphington,2006,7,PPM2.5,90.7
Alphington,2006,7,SO2,546.0
Alphington,2006,8,API,474.76999999999913
Alphington,2006,8,CO,453.99999999999926
Alphington,2006,8,NO2,11220.0
Alphington,2006,8,O3,6831.0
Alphington,2006,8,PM10,11582.900000000018
Alphington,2006,8,PPM2.5,88.4
Alphington,2006,8,SO2,539.0
Alphington,2006,9,API,353.82999999999964
Alphington,2006,9,CO,257.59999999999917
Alphington,2006,9,NO2,8452.0
Alphington,2006,9,O3,10639.0
Alphington,2006,9,PM10,12209.000000000002
Alphington,2006,9,PPM2.5,63.1
Alphington,2006,9,SO2,393.0
Alphington,2006,10,API,352.8699999999997
Alphington,2006,10,CO,222.19999999999925
Alphington,2006,10,NO2,8012.0
Alphington,2006,10,O3,13822.0
Alphington,2006,10,PM10,15465.200000000006
Alphington,2006,10,PPM2.5,77.1
Alphington,2006,10,SO2,420.0
Alphington,2006,11,API,375.6200000000001
Alphington,2006,11,CO,165.49999999999986
Alphington,2006,11,NO2,5851.0
Alphington,2006,11,O3,12942.0
Alphington,2006,11,PM10,14488.300000000001
Alphington,2006,11,PPM2.5,65.60000000000001
Alphington,2006,11,SO2,366.0
Alphington,2006,12,API,1256.899999999996
Alphington,2006,12,CO,256.9999999999987
Alphington,2006,12,NO2,5441.0
Alphington,2006,12,O3,17220.0
Alphington,2006,12,PM10,28504.799999999977
Alphington,2006,12,PPM2.5,146.3
Alphington,2006,12,SO2,414.0
Altona North,2006,1,API,177.3400000000001
Altona North,2006,1,NO2,753.0
Altona North,2006,1,O3,7229.0
Altona North,2006,1,SO2,-99.0
Altona North,2006,2,NO2,1764.0
Altona North,2006,2,O3,5725.0
Altona North,2006,2,SO2,225.0
Altona North,2006,3,NO2,5769.0
Altona North,2006,3,O3,12860.0
Altona North,2006,3,SO2,472.0
Altona North,2006,4,NO2,7430.0
Altona North,2006,4,O3,9390.0
Altona North,2006,4,SO2,1349.0
Altona North,2006,5,NO2,8882.0
Altona North,2006,5,O3,8279.0
Altona North,2006,5,SO2,613.0
Altona North,2006,6,NO2,11445.0
Altona North,2006,6,O3,6527.0
Altona North,2006,6,SO2,723.0
Altona North,2006,7,NO2,6134.0
Altona North,2006,7,O3,9519.0
Altona North,2006,7,SO2,607.0
Altona North,2006,8,NO2,9651.0
Altona North,2006,8,O3,9801.0
Altona North,2006,8,SO2,194.0
Altona North,2006,9,NO2,7192.0
Altona North,2006,9,O3,12489.0
Altona North,2006,9,SO2,579.0
