sp_name,month,param_id,value
Alphington,1,API,0.93
Alphington,1,CO,0.3
Alphington,1,NO2,6.4
Alphington,1,O3,25.04
Alphington,1,PM10,25.22
Alphington,1,PPM2.5,13.18
Alphington,1,SO2,0.35
Alphington,2,API,0.7
Alphington,2,CO,0.32
Alphington,2,NO2,8.31
Alphington,2,O3,27.55
Alphington,2,PM10,23.71
Alphington,2,PPM2.5,8.55
Alphington,2,SO2,0.75
Alphington,3,API,0.54
Alphington,3,CO,0.32
Alphington,3,NO2,8.92
Alphington,3,O3,17.4
Alphington,3,PM10,21.34
Alphington,3,PPM2.5,6.85
Alphington,3,SO2,0.84
Alphington,4,API,0.8
Alphington,4,CO,0.53
Alphington,4,NO2,11.57
Alphington,4,O3,10.82
Alphington,4,PM10,22.84
Alphington,4,PPM2.5,12.13
Alphington,4,SO2,0.96
Alphington,5,API,0.56
Alphington,5,CO,0.46
Alphington,5,NO2,11.64
Alphington,5,O3,11.35
Alphington,5,PM10,15.5
Alphington,5,PPM2.5,6.48
Alphington,5,SO2,0.67
Alphington,6,API,0.77
Alphington,6,CO,0.63
Alphington,6,NO2,17.15
Alphington,6,O3,11.12
Alphington,6,PM10,16.03
Alphington,6,PPM2.5,9.73
Alphington,6,SO2,1.25
Alphington,7,API,0.6
Alphington,7,CO,0.53
Alphington,7,NO2,15.76
Alphington,7,O3,13.88
Alphington,7,PM10,12.33
Alphington,7,PPM2.5,8.27
Alphington,7,SO2,0.95
Alphington,8,API,0.55
Alphington,8,CO,0.49
Alphington,8,NO2,14.84
Alphington,8,O3,15.83
Alphington,8,PM10,15.52
Alphington,8,PPM2.5,8.17
Alphington,8,SO2,0.76
Alphington,9,API,0.48
Alphington,9,CO,0.37
Alphington,9,NO2,12.68
Alphington,9,O3,18.52
Alphington,9,PM10,16.53
Alphington,9,PPM2.5,5.2
Alphington,9,SO2,0.29
Alphington,10,API,0.49
Alphington,10,CO,0.29
Alphington,10,NO2,11.33
Alphington,10,O3,19.64
Alphington,10,PM10,19.58
Alphington,10,PPM2.5,6.92
Alphington,10,SO2,0.21
Alphington,11,API,0.58
Alphington,11,CO,0.28
Alphington,11,NO2,10.82
Alphington,11,O3,19.84
Alphington,11,PM10,17.13
Alphington,11,PPM2.5,6.04
Alphington,11,SO2,0.36
Alphington,12,API,0.5
Alphington,12,CO,0.2
Alphington,12,NO2,8.29
Alphington,12,O3,20.03
Alphington,12,PM10,18.56
Alphington,12,PPM2.5,6.25
Alphington,12,SO2,0.32
Altona North,1,NO2,7.3
Altona North,1,O3,22.2
Altona North,1,SO2,1.31
Altona North,2,NO2,8.39
Altona North,2,O3,25.56
Altona North,2,SO2,0.74
Altona North,3,NO2,9.43
Altona North,3,O3,18.73
Altona North,3,SO2,2.04
Altona North,4,NO2,13.97
Altona North,4,O3,12.69
Altona North,4,SO2,2.14
Altona North,5,NO2,12.8
Altona North,5,O3,15.7
Altona North,5,SO2,0.78
Altona North,6,NO2,11.96
Altona North,6,O3,18.09
Altona North,6,SO2,1.88
Altona North,7,NO2,13.03
Altona North,7,O3,17.26
Altona North,7,SO2,1.77
Altona North,8,NO2,12.52
Altona North,8,O3,18.35
Altona North,8,SO2,1.25
Altona North,9,NO2,10.91
Altona North,9,O3,21.94
Altona North,9,SO2,1.1
Altona North,10,NO2,7.82
Altona North,10,O3,25.28
Altona North,10,SO2,1.57
Altona North,11,NO2,7.27
Altona North,11,O3,27.36
Altona North,11,SO2,1.38
Altona North,12,NO2,6.95
Altona North,12,O3,26.83
Altona North,12,SO2,1.7
Box.Hill,1,API,1.13
Box.Hill,1,CO,0.27
Box.Hill,1,NO2,8.08
Box.Hill,1,O3,19.85
Box.Hill,1,PM10,26.88
Box.Hill,1,SO2,0.36
Box.Hill,2,API,0.76
Box.Hill,2,CO,0.23
Box.Hill,2,NO2,9.73
Box.Hill,2,O3,25.06
Box.Hill,2,PM10,17.2
Box.Hill,2,SO2,0.38
Box.Hill,3,API,0.5
Box.Hill,3,CO,0.22
Box.Hill,3,NO2,10.22
Box.Hill,3,O3,18.04
Box.Hill,3,PM10,16.07
Box.Hill,3,SO2,0.4
Box.Hill,4,API,0.81
Box.Hill,4,CO,0.35
Box.Hill,4,NO2,13.83
Box.Hill,4,O3,15.54
Box.Hill,4,PM10,17.15
Box.Hill,4,SO2,0.58
Box.Hill,5,API,0.47
Box.Hill,5,CO,0.27
Box.Hill,5,NO2,11.03
Box.Hill,5,O3,16.91
Box.Hill,5,PM10,13.47
Box.Hill,5,SO2,0.34
Box.Hill,6,API,0.66
Box.Hill,6,CO,0.47
Box.Hill,6,NO2,16.07
Box.Hill,6,O3,10.09
Box.Hill,6,PM10,13.46
Box.Hill,6,SO2,0.8
Box.Hill,7,API,0.51
Box.Hill,7,CO,0.35
Box.Hill,7,NO2,12.21
Box.Hill,7,O3,14.45
Box.Hill,7,PM10,9.87
Box.Hill,7,SO2,0.51
Box.Hill,8,API,0.47
Box.Hill,8,CO,0.34
Box.Hill,8,NO2,11.82
Box.Hill,8,O3,18.2
Box.Hill,8,PM10,12.9
Box.Hill,8,SO2,0.5
Box.Hill,9,API,0.41
Box.Hill,9,CO,0.23
Box.Hill,9,NO2,9.47
Box.Hill,9,O3,21.6
Box.Hill,9,PM10,13.49
Box.Hill,9,SO2,0.31
Box.Hill,10,API,0.48
Box.Hill,10,CO,0.26
Box.Hill,10,NO2,8.94
Box.Hill,10,O3,22.12
Box.Hill,10,PM10,17.12
Box.Hill,10,SO2,0.45
Box.Hill,11,API,0.56
Box.Hill,11,CO,0.2
Box.Hill,11,NO2,8.99
Box.Hill,11,O3,23.08
Box.Hill,11,PM10,16.91
Box.Hill,11,SO2,0.38
Box.Hill,12,API,0.49
Box.Hill,12,CO,0.15
Box.Hill,12,NO2,7.29
Box.Hill,12,O3,24.7
Box.Hill,12,PM10,16.41
Box.Hill,12,SO2,0.35
Brighton,1,API,0.94
Brighton,1,NO2,5.84
Brighton,1,O3,24.07
Brighton,1,PM10,19.79
Brighton,2,API,0.66
Brighton,2,NO2,5.65
Brighton,2,O3,27.75
Brighton,2,PM10,18.06
Brighton,3,API,0.52
Brighton,3,NO2,7.06
Brighton,3,O3,21.67
Brighton,3,PM10,16.9
Brighton,4,API,0.75
Brighton,4,NO2,11.73
Brighton,4,O3,18.12
Brighton,4,PM10,16.94
Brighton,5,API,0.48
Brighton,5,NO2,10.5
Brighton,5,O3,17.67
Brighton,5,PM10,9.65
Brighton,6,API,0.6
Brighton,6,NO2,11.1
Brighton,6,O3,17.77
Brighton,6,PM10,10.83
Brighton,7,API,0.51
Brighton,7,NO2,11.1
Brighton,7,O3,17.74
Brighton,7,PM10,8.34
Brighton,8,API,0.49
Brighton,8,NO2,12.4
Brighton,8,O3,18.7
Brighton,8,PM10,11.49
Brighton,9,API,0.44
Brighton,9,NO2,9.79
Brighton,9,O3,22.66
Brighton,9,PM10,12.86
Brighton,10,API,0.48
Brighton,10,NO2,8.09
Brighton,10,O3,24.62
Brighton,10,PM10,16.09
Brighton,11,API,0.59
Brighton,11,NO2,8.31
Brighton,11,O3,25.02
Brighton,11,PM10,15.06
Brighton,12,API,0.5
Brighton,12,NO2,6.77
Brighton,12,O3,24.46
Brighton,12,PM10,15.62
Dandenong,1,API,0.98
Dandenong,1,NO2,7.48
Dandenong,1,O3,20.4
Dandenong,1,PM10,26.53
Dandenong,2,API,0.68
Dandenong,2,NO2,8.87
Dandenong,2,O3,23.17
Dandenong,2,PM10,28.92
Dandenong,3,API,0.55
Dandenong,3,NO2,9.86
Dandenong,3,O3,18.24
Dandenong,3,PM10,24.27
Dandenong,4,API,0.81
Dandenong,4,NO2,14.74
Dandenong,4,O3,13.03
Dandenong,4,PM10,25.86
Dandenong,5,API,0.53
Dandenong,5,NO2,10.99
Dandenong,5,O3,14.91
Dandenong,5,PM10,14.82
Dandenong,6,API,0.72
Dandenong,6,NO2,15.16
Dandenong,6,O3,11.96
Dandenong,6,PM10,17.55
Dandenong,7,API,0.56
Dandenong,7,NO2,12.72
Dandenong,7,O3,14.7
Dandenong,7,PM10,11.5
Dandenong,8,API,0.51
Dandenong,8,NO2,12.89
Dandenong,8,O3,15.01
Dandenong,8,PM10,13.3
Dandenong,9,API,0.46
Dandenong,9,NO2,10.39
Dandenong,9,O3,18.77
Dandenong,9,PM10,15.23
Dandenong,10,API,0.51
Dandenong,10,NO2,8.96
Dandenong,10,O3,19.73
Dandenong,10,PM10,21.25
Dandenong,11,API,0.61
Dandenong,11,NO2,9.1
Dandenong,11,O3,20.43
Dandenong,11,PM10,22.11
Dandenong,12,API,0.51
Dandenong,12,NO2,7.1
Dandenong,12,O3,21.25
