sp_name,month,param_id,value
Alphington,1,API,0.61
Alphington,1,CO,0.16
Alphington,1,NO2,6.93
Alphington,1,O3,17.78
Alphington,1,PM10,22.0
Alphington,1,PPM2.5,8.38
Alphington,1,SO2,0.18
Alphington,2,API,0.64
Alphington,2,CO,0.18
Alphington,2,NO2,8.02
Alphington,2,O3,17.47
Alphington,2,PM10,21.65
Alphington,2,PPM2.5,8.16
Alphington,2,SO2,0.21
Alphington,3,API,0.56
Alphington,3,CO,0.19
Alphington,3,NO2,9.57
Alphington,3,O3,14.33
Alphington,3,PM10,20.68
Alphington,3,PPM2.5,7.29
Alphington,3,SO2,0.25
Alphington,4,API,0.75
Alphington,4,CO,0.29
Alphington,4,NO2,11.13
Alphington,4,O3,10.91
Alphington,4,PM10,20.12
Alphington,4,PPM2.5,10.18
Alphington,4,SO2,-0.01
Alphington,5,API,0.75
Alphington,5,CO,0.45
Alphington,5,NO2,13.04
Alphington,5,O3,8.75
Alphington,5,PM10,17.29
Alphington,5,PPM2.5,10.4
Alphington,5,SO2,0.08
Alphington,6,API,0.76
Alphington,6,CO,0.44
Alphington,6,NO2,13.45
Alphington,6,O3,9.13
Alphington,6,PM10,15.53
Alphington,6,PPM2.5,9.46
Alphington,6,SO2,0.2
Alphington,7,API,0.59
Alphington,7,CO,0.38
Alphington,7,NO2,13.14
Alphington,7,O3,12.2
Alphington,7,PM10,13.25
Alphington,7,PPM2.5,7.96
Alphington,7,SO2,-0.09
Alphington,8,API,0.52
Alphington,8,CO,0.26
Alphington,8,NO2,11.89
Alphington,8,O3,13.5
Alphington,8,PM10,13.32
Alphington,8,PPM2.5,7.48
Alphington,8,SO2,-0.2
Alphington,9,API,0.47
Alphington,9,CO,0.18
Alphington,9,NO2,10.52
Alphington,9,O3,16.9
Alphington,9,PM10,16.73
Alphington,9,PPM2.5,5.57
Alphington,9,SO2,-0.1
Alphington,10,API,0.48
Alphington,10,CO,0.14
Alphington,10,NO2,9.95
Alphington,10,O3,16.84
Alphington,10,PM10,18.06
Alphington,10,PPM2.5,5.75
Alphington,10,SO2,0.07
Alphington,11,API,0.5
Alphington,11,CO,0.12
Alphington,11,NO2,9.12
Alphington,11,O3,17.04
Alphington,11,PM10,18.51
Alphington,11,PPM2.5,6.1
Alphington,11,SO2,0.16
Alphington,12,API,0.45
Alphington,12,CO,0.09
Alphington,12,NO2,7.3
Alphington,12,O3,14.66
Alphington,12,PM10,16.76
Alphington,12,PPM2.5,5.87
Alphington,12,SO2,0.1
Altona North,1,NO2,6.11
Altona North,1,O3,20.0
Altona North,1,SO2,1.81
Altona North,2,NO2,6.46
Altona North,2,O3,20.11
Altona North,2,SO2,1.41
Altona North,3,NO2,8.9
Altona North,3,O3,16.9
Altona North,3,SO2,1.96
Altona North,4,NO2,12.16
Altona North,4,O3,13.77
Altona North,4,SO2,2.08
Altona North,5,NO2,13.04
Altona North,5,O3,12.29
Altona North,5,SO2,1.66
Altona North,6,NO2,13.25
Altona North,6,O3,12.18
Altona North,6,SO2,2.17
Altona North,7,NO2,13.18
Altona North,7,O3,13.34
Altona North,7,SO2,1.53
Altona North,8,NO2,11.74
Altona North,8,O3,15.7
Altona North,8,SO2,1.33
Altona North,9,NO2,9.95
Altona North,9,O3,18.97
Altona North,9,SO2,2.14
