AM Condition,,,Number of deaths,,"Standardised Rate per 100,000 Persons",Lower limit of 95% CI,Upper limit of 95% CI
Total avoidable mortality,,,5509,,118.46,115.33,121.59
Ischaemic heart disease,,,1120,,24.94,23.48,26.4
Suicide and self-inflicted injuries,,,545,,11.05,10.12,11.98
Colorectal cancer,,,446,,9.81,8.89,10.72
Cerebrovascular diseases,,,429,,9.41,8.52,10.31
Breast cancer,,,417,,8.8,7.95,9.64
COPD,,,287,,6.37,5.63,7.11
Diabetes,,,253,,5.59,4.9,6.28
Transport accidents,,,258,,5.24,4.6,5.88
Accidental poisoning by and exposure to noxious substances,,,232,,4.6,4.01,5.19
Skin cancer,,,188,,4.1,3.51,4.69
Prostate cancer,,,158,,3.64,3.07,4.2
Complications of the perinatal period,,,150,,2.97,2.5,3.45
Selected invasive infections,,,124,,2.69,2.21,3.16
Renal failure,,,95,,2.1,1.68,2.52
Event of undetermined intent,,,101,,2.03,1.63,2.42
Kidney cancer,,,91,,2.01,1.6,2.43
Falls,,,81,,1.77,1.38,2.15
Heart failure,,,76,,1.67,1.29,2.04
Rheumatic and other valvular heart disease,,,50,,1.09,0.79,1.4
Assault,,,53,,1.06,0.78,1.35
Cervical cancer,,,48,,1,0.72,1.28
Hypertensive heart and renal disease,,,44,,0.97,0.68,1.25
Asthma,,,38,,0.81,0.55,1.06
Accidental drowning and submersion,,,29,,0.59,0.37,0.8
Other accidental threats to breathing,,,21,,0.44,0.25,0.63
HIV / AIDS,,,21,,0.43,0.25,0.62
Pulmonary embolism,,,16,,0.36,0.18,0.53
Pepticulcer disease,,,16,,0.36,0.18,0.53
"Fires, burns",,,16,,0.33,0.17,0.49
Exposure to inanimate mechanical forces,,,15,,0.32,0.16,0.48
Sequelae of external causes of morbidity and mortality,,,14,,0.3,0.14,0.46
"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",,,12,,0.26,0.11,0.41
Hodgkins disease,,,12,,0.25,0.11,0.39
Acute lymphoid leukaemia/Acute lymphoblastic leukaemia,,,11,,0.22,0.09,0.35
Accidental exposure to other and unspecified factors,,,9,,0.2,0.07,0.32
Thyroid cancer,,,9,,0.19,0.07,0.32
Viral pneumonia and influenza,,,6,,0.13,0.03,0.24
"Drugs, medicaments and biological substances causing adverse effects in therapeutic use",,,5,,0.11,0.01,0.2
