param_id,Death_Rate,value,Region
API,0.48,0.021,East_Metro
CO,0.48,0.006,East_Metro
NO2,0.48,0.34600000000000003,East_Metro
O3,0.48,0.6759999999999999,East_Metro
PM10,0.48,0.65,East_Metro
SO2,0.48,-0.005,East_Metro
API,1.0,0.018000000000000002,Geelong
BPM2.5,1.0,0.203,Geelong
CO,1.0,0.005,Geelong
NO2,1.0,0.225,Geelong
O3,1.0,0.654,Geelong
PM10,1.0,0.6920000000000001,Geelong
SO2,1.0,0.023,Geelong
API,0.56,0.026000000000000002,Gippsland
BPM2.5,0.56,0.342,Gippsland
CO,0.56,0.008,Gippsland
NO2,0.56,0.28,Gippsland
O3,0.56,0.629,Gippsland
PM10,0.56,0.637,Gippsland
SO2,0.56,0.05,Gippsland
API,0.67,0.016,NorthE_Metro
BPM2.5,0.67,0.239,NorthE_Metro
CO,0.67,0.008,NorthE_Metro
HPM10,0.67,0.532,NorthE_Metro
NO2,0.67,0.27699999999999997,NorthE_Metro
O3,0.67,0.518,NorthE_Metro
PM10,0.67,0.518,NorthE_Metro
PPM2.5,0.67,0.214,NorthE_Metro
SO2,0.67,0.028999999999999998,NorthE_Metro
API,0.55,0.02,South_Metro
NO2,0.55,0.324,South_Metro
O3,0.55,0.682,South_Metro
PM10,0.55,0.655,South_Metro
