param_id,Death_Rate,value,Region
API,1.06,0.021,East_Metro
CO,1.06,0.006,East_Metro
NO2,1.06,0.34600000000000003,East_Metro
O3,1.06,0.6759999999999999,East_Metro
PM10,1.06,0.65,East_Metro
SO2,1.06,-0.005,East_Metro
API,1.6,0.018000000000000002,Geelong
BPM2.5,1.6,0.203,Geelong
CO,1.6,0.005,Geelong
NO2,1.6,0.225,Geelong
O3,1.6,0.654,Geelong
PM10,1.6,0.6920000000000001,Geelong
SO2,1.6,0.023,Geelong
API,0.86,0.026000000000000002,Gippsland
BPM2.5,0.86,0.342,Gippsland
CO,0.86,0.008,Gippsland
NO2,0.86,0.28,Gippsland
O3,0.86,0.629,Gippsland
PM10,0.86,0.637,Gippsland
SO2,0.86,0.05,Gippsland
API,1.06,0.016,NorthE_Metro
BPM2.5,1.06,0.239,NorthE_Metro
CO,1.06,0.008,NorthE_Metro
HPM10,1.06,0.532,NorthE_Metro
NO2,1.06,0.27699999999999997,NorthE_Metro
O3,1.06,0.518,NorthE_Metro
PM10,1.06,0.518,NorthE_Metro
PPM2.5,1.06,0.214,NorthE_Metro
SO2,1.06,0.028999999999999998,NorthE_Metro
API,1.41,0.02,South_Metro
NO2,1.41,0.324,South_Metro
O3,1.41,0.682,South_Metro
PM10,1.41,0.655,South_Metro
