param_id,Death_Rate,value,Region
API,3.4,0.021,East_Metro
CO,3.4,0.006,East_Metro
NO2,3.4,0.34600000000000003,East_Metro
O3,3.4,0.6759999999999999,East_Metro
PM10,3.4,0.65,East_Metro
SO2,3.4,-0.005,East_Metro
API,3.4,0.018000000000000002,Geelong
BPM2.5,3.4,0.203,Geelong
CO,3.4,0.005,Geelong
NO2,3.4,0.225,Geelong
O3,3.4,0.654,Geelong
PM10,3.4,0.6920000000000001,Geelong
SO2,3.4,0.023,Geelong
API,5.94,0.026000000000000002,Gippsland
BPM2.5,5.94,0.342,Gippsland
CO,5.94,0.008,Gippsland
NO2,5.94,0.28,Gippsland
O3,5.94,0.629,Gippsland
PM10,5.94,0.637,Gippsland
SO2,5.94,0.05,Gippsland
API,3.19,0.016,NorthE_Metro
BPM2.5,3.19,0.239,NorthE_Metro
CO,3.19,0.008,NorthE_Metro
HPM10,3.19,0.532,NorthE_Metro
NO2,3.19,0.27699999999999997,NorthE_Metro
O3,3.19,0.518,NorthE_Metro
PM10,3.19,0.518,NorthE_Metro
PPM2.5,3.19,0.214,NorthE_Metro
SO2,3.19,0.028999999999999998,NorthE_Metro
API,3.33,0.02,South_Metro
NO2,3.33,0.324,South_Metro
O3,3.33,0.682,South_Metro
PM10,3.33,0.655,South_Metro
