param_id,Death_Rate,value,Region
API,0.53,0.023,East_Metro
CO,0.53,0.011000000000000001,East_Metro
NO2,0.53,0.361,East_Metro
O3,0.53,0.667,East_Metro
PM10,0.53,0.6509999999999999,East_Metro
SO2,0.53,-0.021,East_Metro
API,0.87,0.019,Geelong
CO,0.87,0.006999999999999999,Geelong
NO2,0.87,0.22899999999999998,Geelong
O3,0.87,0.665,Geelong
PM10,0.87,0.71,Geelong
SO2,0.87,0.034,Geelong
API,0.72,0.026000000000000002,Gippsland
NO2,0.72,0.289,Gippsland
O3,0.72,0.624,Gippsland
PM10,0.72,0.72,Gippsland
SO2,0.72,0.087,Gippsland
API,0.62,0.021,NorthE_Metro
CO,0.62,0.009000000000000001,NorthE_Metro
NO2,0.62,0.344,NorthE_Metro
O3,0.62,0.604,NorthE_Metro
PM10,0.62,0.667,NorthE_Metro
PPM2.5,0.62,0.265,NorthE_Metro
SO2,0.62,0.036000000000000004,NorthE_Metro
API,0.81,0.022000000000000002,South_Metro
NO2,0.81,0.34700000000000003,South_Metro
O3,0.81,0.6940000000000001,South_Metro
PM10,0.81,0.63,South_Metro
