param_id,Death_Rate,value,Region
API,4.65,0.021,East_Metro
CO,4.65,0.006,East_Metro
NO2,4.65,0.34600000000000003,East_Metro
O3,4.65,0.6759999999999999,East_Metro
PM10,4.65,0.65,East_Metro
SO2,4.65,-0.005,East_Metro
API,10.73,0.018000000000000002,Geelong
BPM2.5,10.73,0.203,Geelong
CO,10.73,0.005,Geelong
NO2,10.73,0.225,Geelong
O3,10.73,0.654,Geelong
PM10,10.73,0.6920000000000001,Geelong
SO2,10.73,0.023,Geelong
API,9.63,0.026000000000000002,Gippsland
BPM2.5,9.63,0.342,Gippsland
CO,9.63,0.008,Gippsland
NO2,9.63,0.28,Gippsland
O3,9.63,0.629,Gippsland
PM10,9.63,0.637,Gippsland
SO2,9.63,0.05,Gippsland
API,7.24,0.016,NorthE_Metro
BPM2.5,7.24,0.239,NorthE_Metro
CO,7.24,0.008,NorthE_Metro
HPM10,7.24,0.532,NorthE_Metro
NO2,7.24,0.27699999999999997,NorthE_Metro
O3,7.24,0.518,NorthE_Metro
PM10,7.24,0.518,NorthE_Metro
PPM2.5,7.24,0.214,NorthE_Metro
SO2,7.24,0.028999999999999998,NorthE_Metro
API,7.19,0.02,South_Metro
NO2,7.19,0.324,South_Metro
O3,7.19,0.682,South_Metro
PM10,7.19,0.655,South_Metro
