param_id,Death_Rate,value,Region
API,17.6,0.023,East_Metro
CO,17.6,0.011000000000000001,East_Metro
NO2,17.6,0.361,East_Metro
O3,17.6,0.667,East_Metro
PM10,17.6,0.6509999999999999,East_Metro
SO2,17.6,-0.021,East_Metro
API,28.73,0.019,Geelong
CO,28.73,0.006999999999999999,Geelong
NO2,28.73,0.22899999999999998,Geelong
O3,28.73,0.665,Geelong
PM10,28.73,0.71,Geelong
SO2,28.73,0.034,Geelong
API,32.19,0.026000000000000002,Gippsland
NO2,32.19,0.289,Gippsland
O3,32.19,0.624,Gippsland
PM10,32.19,0.72,Gippsland
SO2,32.19,0.087,Gippsland
API,26.5,0.021,NorthE_Metro
CO,26.5,0.009000000000000001,NorthE_Metro
NO2,26.5,0.344,NorthE_Metro
O3,26.5,0.604,NorthE_Metro
PM10,26.5,0.667,NorthE_Metro
PPM2.5,26.5,0.265,NorthE_Metro
SO2,26.5,0.036000000000000004,NorthE_Metro
API,24.94,0.022000000000000002,South_Metro
NO2,24.94,0.34700000000000003,South_Metro
O3,24.94,0.6940000000000001,South_Metro
PM10,24.94,0.63,South_Metro
