param_id,Death_Rate,value,Region
API,3.55,0.023,East_Metro
CO,3.55,0.011000000000000001,East_Metro
NO2,3.55,0.361,East_Metro
O3,3.55,0.667,East_Metro
PM10,3.55,0.6509999999999999,East_Metro
SO2,3.55,-0.021,East_Metro
API,4.6,0.019,Geelong
CO,4.6,0.006999999999999999,Geelong
NO2,4.6,0.22899999999999998,Geelong
O3,4.6,0.665,Geelong
PM10,4.6,0.71,Geelong
SO2,4.6,0.034,Geelong
API,5.2,0.026000000000000002,Gippsland
NO2,5.2,0.289,Gippsland
O3,5.2,0.624,Gippsland
PM10,5.2,0.72,Gippsland
SO2,5.2,0.087,Gippsland
API,3.33,0.021,NorthE_Metro
CO,3.33,0.009000000000000001,NorthE_Metro
NO2,3.33,0.344,NorthE_Metro
O3,3.33,0.604,NorthE_Metro
PM10,3.33,0.667,NorthE_Metro
PPM2.5,3.33,0.265,NorthE_Metro
SO2,3.33,0.036000000000000004,NorthE_Metro
API,4.1,0.022000000000000002,South_Metro
NO2,4.1,0.34700000000000003,South_Metro
O3,4.1,0.6940000000000001,South_Metro
PM10,4.1,0.63,South_Metro
