param_id,Death_Rate,value,Region,diseases,years
PM10,3.33,0.655,South_Metro,Skin-Cancer,12-16
O3,3.33,0.682,South_Metro,Skin-Cancer,12-16
NO2,3.33,0.324,South_Metro,Skin-Cancer,12-16
API,3.33,0.02,South_Metro,Skin-Cancer,12-16
SO2,3.19,0.029,NorthE_Metro,Skin-Cancer,12-16
PPM2.5,3.19,0.214,NorthE_Metro,Skin-Cancer,12-16
PM10,3.19,0.518,NorthE_Metro,Skin-Cancer,12-16
O3,3.19,0.518,NorthE_Metro,Skin-Cancer,12-16
NO2,3.19,0.277,NorthE_Metro,Skin-Cancer,12-16
HPM10,3.19,0.532,NorthE_Metro,Skin-Cancer,12-16
CO,3.19,0.008,NorthE_Metro,Skin-Cancer,12-16
BPM2.5,3.19,0.239,NorthE_Metro,Skin-Cancer,12-16
API,3.19,0.016,NorthE_Metro,Skin-Cancer,12-16
SO2,5.94,0.05,Gippsland,Skin-Cancer,12-16
PM10,5.94,0.637,Gippsland,Skin-Cancer,12-16
O3,5.94,0.629,Gippsland,Skin-Cancer,12-16
NO2,5.94,0.28,Gippsland,Skin-Cancer,12-16
CO,5.94,0.008,Gippsland,Skin-Cancer,12-16
BPM2.5,5.94,0.342,Gippsland,Skin-Cancer,12-16
API,5.94,0.026,Gippsland,Skin-Cancer,12-16
SO2,3.4,0.023,Geelong,Skin-Cancer,12-16
PM10,3.4,0.6920000000000001,Geelong,Skin-Cancer,12-16
O3,3.4,0.654,Geelong,Skin-Cancer,12-16
NO2,3.4,0.225,Geelong,Skin-Cancer,12-16
CO,3.4,0.005,Geelong,Skin-Cancer,12-16
BPM2.5,3.4,0.203,Geelong,Skin-Cancer,12-16
API,3.4,0.018000000000000002,Geelong,Skin-Cancer,12-16
SO2,3.4,-0.005,East_Metro,Skin-Cancer,12-16
PM10,3.4,0.65,East_Metro,Skin-Cancer,12-16
O3,3.4,0.6759999999999999,East_Metro,Skin-Cancer,12-16
NO2,3.4,0.34600000000000003,East_Metro,Skin-Cancer,12-16
CO,3.4,0.006,East_Metro,Skin-Cancer,12-16
API,3.4,0.021,East_Metro,Skin-Cancer,12-16
PM10,0.55,0.655,South_Metro,Asthma,12-16
O3,0.55,0.682,South_Metro,Asthma,12-16
NO2,0.55,0.324,South_Metro,Asthma,12-16
API,0.55,0.02,South_Metro,Asthma,12-16
SO2,0.67,0.029,NorthE_Metro,Asthma,12-16
PPM2.5,0.67,0.214,NorthE_Metro,Asthma,12-16
PM10,0.67,0.518,NorthE_Metro,Asthma,12-16
O3,0.67,0.518,NorthE_Metro,Asthma,12-16
NO2,0.67,0.277,NorthE_Metro,Asthma,12-16
HPM10,0.67,0.532,NorthE_Metro,Asthma,12-16
CO,0.67,0.008,NorthE_Metro,Asthma,12-16
BPM2.5,0.67,0.239,NorthE_Metro,Asthma,12-16
API,0.67,0.016,NorthE_Metro,Asthma,12-16
SO2,0.56,0.05,Gippsland,Asthma,12-16
PM10,0.56,0.637,Gippsland,Asthma,12-16
O3,0.56,0.629,Gippsland,Asthma,12-16
NO2,0.56,0.28,Gippsland,Asthma,12-16
CO,0.56,0.008,Gippsland,Asthma,12-16
BPM2.5,0.56,0.342,Gippsland,Asthma,12-16
API,0.56,0.026,Gippsland,Asthma,12-16
SO2,1.0,0.023,Geelong,Asthma,12-16
PM10,1.0,0.6920000000000001,Geelong,Asthma,12-16
O3,1.0,0.654,Geelong,Asthma,12-16
NO2,1.0,0.225,Geelong,Asthma,12-16
CO,1.0,0.005,Geelong,Asthma,12-16
BPM2.5,1.0,0.203,Geelong,Asthma,12-16
API,1.0,0.018000000000000002,Geelong,Asthma,12-16
SO2,0.48,-0.005,East_Metro,Asthma,12-16
PM10,0.48,0.65,East_Metro,Asthma,12-16
O3,0.48,0.6759999999999999,East_Metro,Asthma,12-16
NO2,0.48,0.34600000000000003,East_Metro,Asthma,12-16
CO,0.48,0.006,East_Metro,Asthma,12-16
API,0.48,0.021,East_Metro,Asthma,12-16
PM10,1.41,0.655,South_Metro,Heart-Failure,12-16
O3,1.41,0.682,South_Metro,Heart-Failure,12-16
NO2,1.41,0.324,South_Metro,Heart-Failure,12-16
API,1.41,0.02,South_Metro,Heart-Failure,12-16
SO2,1.06,0.029,NorthE_Metro,Heart-Failure,12-16
PPM2.5,1.06,0.214,NorthE_Metro,Heart-Failure,12-16
PM10,1.06,0.518,NorthE_Metro,Heart-Failure,12-16
O3,1.06,0.518,NorthE_Metro,Heart-Failure,12-16
NO2,1.06,0.277,NorthE_Metro,Heart-Failure,12-16
HPM10,1.06,0.532,NorthE_Metro,Heart-Failure,12-16
CO,1.06,0.008,NorthE_Metro,Heart-Failure,12-16
BPM2.5,1.06,0.239,NorthE_Metro,Heart-Failure,12-16
API,1.06,0.016,NorthE_Metro,Heart-Failure,12-16
SO2,0.86,0.05,Gippsland,Heart-Failure,12-16
PM10,0.86,0.637,Gippsland,Heart-Failure,12-16
O3,0.86,0.629,Gippsland,Heart-Failure,12-16
NO2,0.86,0.28,Gippsland,Heart-Failure,12-16
CO,0.86,0.008,Gippsland,Heart-Failure,12-16
BPM2.5,0.86,0.342,Gippsland,Heart-Failure,12-16
API,0.86,0.026,Gippsland,Heart-Failure,12-16
SO2,1.6,0.023,Geelong,Heart-Failure,12-16
PM10,1.6,0.6920000000000001,Geelong,Heart-Failure,12-16
O3,1.6,0.654,Geelong,Heart-Failure,12-16
NO2,1.6,0.225,Geelong,Heart-Failure,12-16
CO,1.6,0.005,Geelong,Heart-Failure,12-16
BPM2.5,1.6,0.203,Geelong,Heart-Failure,12-16
API,1.6,0.018000000000000002,Geelong,Heart-Failure,12-16
SO2,1.06,-0.005,East_Metro,Heart-Failure,12-16
PM10,1.06,0.65,East_Metro,Heart-Failure,12-16
O3,1.06,0.6759999999999999,East_Metro,Heart-Failure,12-16
NO2,1.06,0.34600000000000003,East_Metro,Heart-Failure,12-16
CO,1.06,0.006,East_Metro,Heart-Failure,12-16
API,1.06,0.021,East_Metro,Heart-Failure,12-16
PM10,7.19,0.655,South_Metro,COPD,12-16
O3,7.19,0.682,South_Metro,COPD,12-16
NO2,7.19,0.324,South_Metro,COPD,12-16
API,7.19,0.02,South_Metro,COPD,12-16
SO2,7.24,0.029,NorthE_Metro,COPD,12-16
PPM2.5,7.24,0.214,NorthE_Metro,COPD,12-16
PM10,7.24,0.518,NorthE_Metro,COPD,12-16
O3,7.24,0.518,NorthE_Metro,COPD,12-16
NO2,7.24,0.277,NorthE_Metro,COPD,12-16
HPM10,7.24,0.532,NorthE_Metro,COPD,12-16
CO,7.24,0.008,NorthE_Metro,COPD,12-16
BPM2.5,7.24,0.239,NorthE_Metro,COPD,12-16
API,7.24,0.016,NorthE_Metro,COPD,12-16
SO2,9.63,0.05,Gippsland,COPD,12-16
PM10,9.63,0.637,Gippsland,COPD,12-16
O3,9.63,0.629,Gippsland,COPD,12-16
NO2,9.63,0.28,Gippsland,COPD,12-16
CO,9.63,0.008,Gippsland,COPD,12-16
BPM2.5,9.63,0.342,Gippsland,COPD,12-16
API,9.63,0.026,Gippsland,COPD,12-16
SO2,10.73,0.023,Geelong,COPD,12-16
PM10,10.73,0.6920000000000001,Geelong,COPD,12-16
O3,10.73,0.654,Geelong,COPD,12-16
NO2,10.73,0.225,Geelong,COPD,12-16
CO,10.73,0.005,Geelong,COPD,12-16
BPM2.5,10.73,0.203,Geelong,COPD,12-16
API,10.73,0.018000000000000002,Geelong,COPD,12-16
SO2,4.65,-0.005,East_Metro,COPD,12-16
PM10,4.65,0.65,East_Metro,COPD,12-16
O3,4.65,0.6759999999999999,East_Metro,COPD,12-16
NO2,4.65,0.34600000000000003,East_Metro,COPD,12-16
CO,4.65,0.006,East_Metro,COPD,12-16
API,4.65,0.021,East_Metro,COPD,12-16
PM10,19.69,0.655,South_Metro,Ischaemic-Heart-Disease,12-16
O3,19.69,0.682,South_Metro,Ischaemic-Heart-Disease,12-16
NO2,19.69,0.324,South_Metro,Ischaemic-Heart-Disease,12-16
API,19.69,0.02,South_Metro,Ischaemic-Heart-Disease,12-16
SO2,21.3,0.029,NorthE_Metro,Ischaemic-Heart-Disease,12-16
PPM2.5,21.3,0.214,NorthE_Metro,Ischaemic-Heart-Disease,12-16
PM10,21.3,0.518,NorthE_Metro,Ischaemic-Heart-Disease,12-16
O3,21.3,0.518,NorthE_Metro,Ischaemic-Heart-Disease,12-16
NO2,21.3,0.277,NorthE_Metro,Ischaemic-Heart-Disease,12-16
HPM10,21.3,0.532,NorthE_Metro,Ischaemic-Heart-Disease,12-16
CO,21.3,0.008,NorthE_Metro,Ischaemic-Heart-Disease,12-16
BPM2.5,21.3,0.239,NorthE_Metro,Ischaemic-Heart-Disease,12-16
API,21.3,0.016,NorthE_Metro,Ischaemic-Heart-Disease,12-16
SO2,27.1,0.05,Gippsland,Ischaemic-Heart-Disease,12-16
PM10,27.1,0.637,Gippsland,Ischaemic-Heart-Disease,12-16
O3,27.1,0.629,Gippsland,Ischaemic-Heart-Disease,12-16
NO2,27.1,0.28,Gippsland,Ischaemic-Heart-Disease,12-16
CO,27.1,0.008,Gippsland,Ischaemic-Heart-Disease,12-16
BPM2.5,27.1,0.342,Gippsland,Ischaemic-Heart-Disease,12-16
API,27.1,0.026,Gippsland,Ischaemic-Heart-Disease,12-16
SO2,22.87,0.023,Geelong,Ischaemic-Heart-Disease,12-16
PM10,22.87,0.6920000000000001,Geelong,Ischaemic-Heart-Disease,12-16
O3,22.87,0.654,Geelong,Ischaemic-Heart-Disease,12-16
NO2,22.87,0.225,Geelong,Ischaemic-Heart-Disease,12-16
CO,22.87,0.005,Geelong,Ischaemic-Heart-Disease,12-16
BPM2.5,22.87,0.203,Geelong,Ischaemic-Heart-Disease,12-16
API,22.87,0.018000000000000002,Geelong,Ischaemic-Heart-Disease,12-16
SO2,13.5,-0.005,East_Metro,Ischaemic-Heart-Disease,12-16
PM10,13.5,0.65,East_Metro,Ischaemic-Heart-Disease,12-16
O3,13.5,0.6759999999999999,East_Metro,Ischaemic-Heart-Disease,12-16
NO2,13.5,0.34600000000000003,East_Metro,Ischaemic-Heart-Disease,12-16
CO,13.5,0.006,East_Metro,Ischaemic-Heart-Disease,12-16
API,13.5,0.021,East_Metro,Ischaemic-Heart-Disease,12-16
PM10,4.1,0.63,South_Metro,Skin-Cancer,07-11
O3,4.1,0.6940000000000001,South_Metro,Skin-Cancer,07-11
NO2,4.1,0.34700000000000003,South_Metro,Skin-Cancer,07-11
